5; 1; 10; 
4,98424; 1,01572; 11,2348; 
4,96851; 1,03133; 12,4184; 
4,95281; 1,04684; 13,5537; 
4,93713; 1,06225; 14,6434; 
4,92147; 1,07757; 15,6901; 
4,90584; 1,09278; 16,6962; 
4,89023; 1,1079; 17,6637; 
4,87465; 1,12292; 18,5948; 
4,85909; 1,13784; 19,4913; 
4,84356; 1,15267; 20,355; 
4,82806; 1,16741; 21,1875; 
4,81257; 1,18205; 21,9905; 
4,79712; 1,19661; 22,7652; 
4,78168; 1,21107; 23,5132; 
4,76628; 1,22544; 24,2356; 
4,75089; 1,23972; 24,9336; 
4,73554; 1,25391; 25,6084; 
4,7202; 1,26801; 26,2611; 
4,70489; 1,28203; 26,8925; 
4,68961; 1,29596; 27,5037; 
4,67435; 1,3098; 28,0955; 
4,65912; 1,32356; 28,6688; 
4,64391; 1,33724; 29,2243; 
4,62873; 1,35083; 29,7628; 
4,61357; 1,36433; 30,285; 
4,59843; 1,37776; 30,7915; 
4,58332; 1,3911; 31,2831; 
4,56824; 1,40436; 31,7602; 
4,55318; 1,41754; 32,2234; 
4,53815; 1,43065; 32,6734; 
4,52314; 1,44367; 33,1105; 
4,50815; 1,45661; 33,5354; 
4,49319; 1,46947; 33,9483; 
4,47826; 1,48226; 34,3499; 
4,46335; 1,49497; 34,7404; 
4,44846; 1,5076; 35,1204; 
4,4336; 1,52016; 35,4901; 
4,41876; 1,53264; 35,85; 
4,40395; 1,54505; 36,2004; 
4,38917; 1,55738; 36,5415; 
4,37441; 1,56963; 36,8739; 
4,35967; 1,58182; 37,1976; 
4,34496; 1,59393; 37,5131; 
4,33027; 1,60597; 37,8205; 
4,31561; 1,61793; 38,1202; 
4,30097; 1,62983; 38,4125; 
4,28636; 1,64165; 38,6974; 
4,27177; 1,6534; 38,9754; 
4,25721; 1,66508; 39,2466; 
4,24267; 1,67669; 39,5112; 
4,22816; 1,68823; 39,7694; 
4,21367; 1,69971; 40,0214; 
4,19921; 1,71111; 40,2675; 
4,18477; 1,72244; 40,5077; 
4,17036; 1,73371; 40,7423; 
4,15597; 1,74491; 40,9714; 
4,14161; 1,75604; 41,1952; 
4,12727; 1,76711; 41,4138; 
4,11296; 1,77811; 41,6275; 
4,09867; 1,78904; 41,8363; 
4,0844; 1,79991; 42,0403; 
4,07017; 1,81071; 42,2398; 
4,05595; 1,82145; 42,4347; 
